"RANDOLPH BEER","343 BROOME STREET, NEW YORK, NY"
"Top Hops Beer Shop","94 Orchard Street, New York, NY 10002"
"CHAR SUE","119 ESSEX STREET, NEW YORK, NY"
"SoHo Grand Hotel","310 W Broadway, New York, NY 10013"
"Locanda Verde","337 Greenwich St, New York, NY 10013"
"BARE BURGER LAGUARDIA PL","535 LAGUARDIA PLACE, NEW YORK, NY"
"THE UNCOMMONS","230 THOMPSON ST, NEW YORK, NY 10012"
"Carmine St Beers","52 A Carmine St, New York, NY 10014"
"SOHO DUMBO","55 WATER ST, BROOKLYN, NY"
"Blue Smoke - Battery Park City","255 Vesey St, New York, NY 10282"
"Alphabet City Beer Company","96 Avenue C, New York, NY 10009"
"The Smith","55 3rd Avenue, New York, NY 10003"
"FORMERLY CROWS","85 WASHINGTON PLACE, NEW YORK, NY"
"Fraunces Tavern","54 Pearl St, New York, NY 10004"
"RANDOLPH BEER DUMBO","77 SANDS ST, BROOKLYN, NY"
"Flat's Fix Tacqueria (Union Square)","28 E. 16th Street, New York, NY 10003"
"KEY FOOD SUPERMARKET - MONTAGUE ST","102 MONTAGUE STREET, BROOKLYN, NY"
"CRAFT AND CARRY","284 3RD AVE, NEW YORK, NY"
"Beer Run NYC","203 W 19th St, New York, NY 10011"
"THE WILD SON","53 LITTLE W 12TH ST, NEW YORK, NY"
"RADEGAST HALL & BIERGARTEN","113 115 N. 3RD STREET, BROOKLYN, NY"
"WEYLIN B SEYMOURS","175 BROADWAY, BROOKLYN, NY"
"Blue Smoke - Flatiron","116 E 27th St, New York, NY 10016"
"WORTHWILD","156 9TH AVENUE, NEW YORK, NY"
"The Smith - NoMad","1150 Broadway, New York, NY"
"Milk and Hops","166 9th Ave, New York, NY 10011"
"The Understudy @DeKalb Market Hall","445 Albee Square West, Brooklyn, NY 11201"
"Tavern29","47 E 29th St, New York, NY 10016"
"Livingston Manor","42 Hoyt St, Brooklyn, NY"
"Congress Bar","208 Court St, Brooklyn, NY"
"ROEBLING SPORTS CLUB","225 N. 8TH STREET, BROOKLYN, NY"
"BEER BOUTIQUE","497 UNION AVE, BROOKLYN, NY"
"Hudson Hall","364 Marin Blvd, Jersey City, NJ 07302"
"ShopRite Wines and Spirits of Jesery City, NJ","400 Luis Martin Blvd., Jersey City, NJ 07302"
"Beer Karma","470 Union Ave, Brooklyn, NY 11211"
"MARRIOT FAIRFIELD INN","325 W 33RD ST, NEW YORK, NY"
"Agern","Grand Central Terminal, New York, NY 10017"
"Beer Table","Grand Central Terminal, New York, NY"
"BAREBURGER (LIC)","48 - 19 VERNON BLVD, LONG ISLAND CIT, NY"
"Beer Culture","328 West 45th Street, New York, NY 10036"
"Bierwax","556 Vanderbilt Ave, Brooklyn, NY"
"ShopRite Wines and Spirits of Hoboken, NJ","900 Madison Ave., Hoboken, NJ 07030"
"The Smith","956 2nd Avenue, New York, NY"
"BAREBURGER (46ST ST) - MK","366 W. 46TH STREET, NEW YORK, NY"
"Vintner's Wine Market","677 Ninth Avenue, New York, NY 10036"
"The Well","272 Meserole St, Brooklyn, NY 11206"
"THE GREATS OF CRAFT","983 1ST AVE, NEW YORK, NY"
"As Is NYC","734 10th Ave, New York, NY 10019"
"EMPORIUM FRESH MARKET","409 5TH AVENUE, BROOKLYN, NY"
"BREAD & HONEY","939 8TH AVENUE, NEW YORK, NY"
"COMPARE FOODS","492 ST MARKS AVE, BROOKLYN, NY"
"The Bar Room","117 E 60th St, New York, NY 10022"
"The Crown Inn","724 Franklin St, Brooklyn, NY"
"KEY FOOD SUPERMARKET - 615 5th Ave Bkln","615-619 5TH AVE, BROOKLYN, NY"
"The Smith","1900 Broadway, New York, NY"
"The Sampler","234 Starr Ave, Brooklyn, NY 11237"
"Pearl's Social","40 St Nicholas Ave, Brooklyn, NY"
"Krupa Grocery","231 Prospect Park, Brooklyn, NY 11215"
"GRUIT","252 EMPIRE BLVD, BROOKLYN, NY"
"Gebhard's Beer Culture","228 W 72nd St, New York, NY 10023"
"PIONEER SUPERMARKET","289 COLUMBUS AVENUE, NEW YORK, NY"
"ED'S ELBOW ROOM","308 EAST 78TH STREET, NEW YORK, NY"
"HEIDI'S HOUSE BY THE SIDE","308 EAST 78TH STREET, NEW YORK, NY"
"City Swiggers","320 East 86th Street, New York, NY 10028"
"ASTORIA BEER AND CHEESE","34 14 BROADWAY, ASTORIA, NY"
"BARE BURGER (31ST AVE)","33 21 31ST AVE, ASTORIA, NY"
"ARTS & CRAFTS BEER PARLOR","1133-1135 AMSTERDAM AVE, NEW YORK, NY"
