"Functional Self","Unit 3, Bracknell Business Centre","Bracknell","RG12 1QS"
"Functional Self","Unit 3, Bracknell Business Centre","Bracknell","RG12 1QS"
"A&B Naturals","101 Cottage St.","Bar Harbor","4609"
"Wicked Healthy","187 Summer St","Kingston","2364"
"Cambridge Naturals","23 White St.","Cambridge","2140"
"Concious Body Natural Medicine","1691 Beacon St.","Brookline","2445"
"Evolve Apothecary","769 Hope S","Providence","2906"
"Debra's Natural Gourmet","98 Commonwealth Ave","Concord","1742"
"Lalajava Coffeehouse","28 Brentwood Drive","Shrewsbury","1545"
"Concord Co-op","24 S Main St.","Concord","3301"
"Aegle Healing Center","50 Station Road Building 3 Unit 1","Water Mill","11976"
"Scratch MakerSpace","18 Hanover St.","Lenabon","3766"
"ND Integrative and Functional Medicine","27 Glen Road, 4th Floor","Sandy Hook","6482"
"The Flatbush Food Coop","1415 Cortelyou Rd","Brooklyn","11226"
"Credo Beauty","99 N. 6TH ST.","BROOKLYN","11249"
"Natures Prescriptions","5-29 50th Ave","Long Island City","11101"
"Fusion Apothecary","1158 2nd Ave","New York City","10065"
"Perelandra Natural Food","175 Remsen St","Brooklyn","11201"
"Credo Beauty","9 Prince St","New York","10002"
"Cap Beauty","238 W 10th St","New York City","10014"
"Back to Earth","306 S Main St","New York City","10956"
"Wise Bear Functional Nutrition","1300 Horizon Drive","Chalfont","18914"
"Healthy Pursuit Wellness Center","14895 N State Ave","Middlefield","44062"
"Seven Grains","92 West Ave.","Tallmadge","44278"
"Charm Wellness Center","4402 State Route 557","Millersburg","44654"
"Lewis Family Natural Health","16 Sterling St.","Asheville","28803"
"Leslie Larsen","3489 Soco Rd","Maggie Valley","28751"
"Liberty Integrative M.C.","10208 Sawmill Hwy","Powell","43065"
"Zerbo's Health Food","34164 Plymouth Rd","Livonia","48150"
"Nutrition World","6201 Lee Highway","Chattanooga",""
"Madison Drugs","8 Parade St.","Huntsville","35806"
"Dundee Dermatology","1201 Water Tower Rd","West Dundee","60118"
"Natural Health Chiropractic","495 Union Ave #1b","Middlesex","8846"
"Crossfit","1437 St Charles St #119","Houma","70360"
"Cedarbrook Center","6980 Fairview Rd N #110","Baxter","56425"
"Pinoniemi Chiropractic","322 Aspen Ave N","Menahga","56464"
"New Leaf Health & Wellness","4100 McEwen Rd","Dallas","75244"
"Esty Skin Studio","1006 Waller St.","Austin","78702"
"Radiant Health Natural Medicine PLLC","813 S. Central Ave.","Sidney","59270"
"Real Food Market and Deli","1069 Helena Ave","Helena","59601"
"Radiant Health Partners","10010 N 52nd St","Paradise Valley","85253"
"Wenatchee Natural Foods","222 N Wenatchee Ave","Wenatchee","98801"
"Natural Dental office","240 NW Gilman Blvd","Issaquah","98027"
"Island Drug","11042 State Route 525 #130","Clinton","98236"
"Orcas Co-op","138 N Beach Rd","Eastsound","98245"
"Mission Heirloom","2701,8th street #109","Berkeley","94710"
"Chiropractic Care Center","5600 Pacific Ave SE","Lacey","98503"
"Doc Martin Wellness","1725 SW Chandler Ave #102","Bend","97702"
"MERRITT HEALTH & WELLNESS","6035 SE Milwaukie Ave","Portland","97202"
"Heal","1024 Bayside Drive","Newport Beach","91660"
"Culture Club","1392 E. Washington Blvd.","Pasadena","91104"
"Credo Beauty","8327 W. 3RD STREET","LOS ANGELES","90048"
"Olesen and Associates","3257 Professional Drive Suite A","Auburn","95602"
"San Ysidro Pharmacy","1498 E Valley Rd","Santa Barbara","93108"
"Credo Beauty","2136 Fillmore Street","San Francisco","94115"
"Holistic Skin Health","24 Regent St.","Whittington Victoria","3219"
